Nr;Land;Punkte gesamt;Wahlprozess und Pluralismus;Funktionsweise der Regierung;Politische Teilhabe;Politische Kultur;Bürgerrechte;Kategorie
93; Guatemala;5,26;6,92;4,64;3,89;4,38;6,47;Hybridregime
94; Kenia;5,18;3,5;5,71;6,67;5,63;4,41;Hybridregime
95; Tansania;5,16;5,75;5;5;5,63;4,41;Hybridregime
96; Marokko;5,1;5,25;4,64;5,56;5,63;4,41;Hybridregime
97; Benin;5,09;4,67;5,71;4,44;5,63;5;Hybridregime
98; Sambia;5,09;4,75;2,93;4,44;6,88;6,47;Hybridregime
99; Uganda;5,02;4,33;3,57;4,44;6,88;5,88;Hybridregime
100; Mali;4,92;6,42;3,07;3,89;5,63;5,59;Hybridregime
101; Kirgisistan;4,89;6,08;2,93;6,67;3,75;5;Hybridregime
102; Bosnien und Herzegowina;4,86;6,17;2,93;5,56;3,75;5,88;Hybridregime
103; Sierra Leone;4,86;6,58;2,86;3,33;6,25;5,29;Hybridregime
104; Bolivien;4,84;4,75;3,93;5;3,75;6,76;Hybridregime
105; Haiti;4,57;4,75;2,07;3,89;6,25;5,88;Hybridregime
106; Libanon;4,36;3,92;1,5;6,67;5;4,71;Hybridregime
107; Gambia;4,33;4;4,29;3,33;5,63;4,41;Hybridregime
108; Pakistan;4,25;6,08;5,71;2,22;2,5;4,71;Hybridregime
109; Nigeria;4,12;5,17;3,93;3,33;3,75;4,41;Hybridregime
110; Türkei;4,09;3,08;5;5;5;2,35;Hybridregime
111; Elfenbeinküste;4,05;4,83;2,86;3,33;5,63;4,12;Hybridregime
112; Burkina Faso;4,04;3,08;2,86;5;5;4,12;Hybridregime
113; Algerien;4,01;3,08;2,86;5;5;4,12;Hybridregime
114; Jordanien;3,93;3,58;4,29;3,89;4,38;3,53;Autoritäres Regime
115; Kuwait;3,93;3,58;4,29;3,89;4,38;3,53;Autoritäres Regime
116; Mauretanien;3,92;3,5;3,57;5;3,13;4,41;Autoritäres Regime
117; Palästina;3,89;3,33;0,14;7,78;4,38;3,82;Autoritäres Regime
118; Irak;3,74;5,25;0;6,67;5;1,76;Autoritäres Regime
119; Angola;3,72;2,25;2,86;5,56;5;2,94;Autoritäres Regime
120; Mosambik;3,65;2,58;2,14;5;5;3,53;Autoritäres Regime
121; Gabun;3,61;2,58;2,21;4,44;5;3,82;Autoritäres Regime
122; Myanmar;3,55;3,08;3,93;2,78;5,63;2,35;Autoritäres Regime
123; Nicaragua;3,55;3,08;1,25;2,86;3,89;5,63;Autoritäres Regime
124; Kambodscha;3,53;0,83;4,64;3,33;5,63;3,24;Autoritäres Regime
125; Äthiopien;3,44;0,42;3,57;5,56;5;2,65;Autoritäres Regime
126; Togo;3,3;3,17;1,79;3,33;5;3,24;Autoritäres Regime
127; Niger;3,29;2,92;1,14;3,33;4,38;4,71;Autoritäres Regime
128; Katar;3,19;0;4,29;2,22;5,63;3,82;Autoritäres Regime
129; Ruanda;3,16;1,42;4,29;2,78;4,38;2,94;Autoritäres Regime
130; Simbabwe;3,16;0;2,5;4,44;5,63;3,24;Autoritäres Regime
131; Komoren;3,15;2,08;2,21;3,89;3,75;3,82;Autoritäres Regime
132; Eswatini;3,14;0,92;2,86;2,78;5,63;3,53;Autoritäres Regime
133; Guinea;3,14;3,5;0,43;4,44;4,38;2,94;Autoritäres Regime
134; Republik Kongo;3,11;2,17;2,5;3,89;3,75;3,24;Autoritäres Regime
135; Russland;3,11;2,17;1,79;5;2,5;4,12;Autoritäres Regime
136; Vietnam;3,08;0;3,21;3,89;5,63;2,65;Autoritäres Regime
137; Ägypten;3,06;2,67;3,21;3,33;3,75;2,35;Autoritäres Regime
138; Oman;3,06;0,08;3,93;2,78;4,38;4,12;Autoritäres Regime
139; Kasachstan;2,94;0,5;2,14;4,44;4,38;3,24;Autoritäres Regime
140; Venezuela;2,88;0;1,79;5;4,38;3,24;Autoritäres Regime
141; Afghanistan;2,85;3,42;0,64;3,89;2,5;3,82;Autoritäres Regime
142; Kamerun;2,85;1,67;2,5;3,33;4,38;2,35;Autoritäres Regime
143; Kuba;2,84;0;3,57;3,33;4,38;2,94;Autoritäres Regime
144; Dschibuti;2,77;0,42;1,29;3,89;5,63;2,65;Autoritäres Regime
145; Vereinigte Arabische Emirate;2,76;0;3,93;2,22;5;2,65;Autoritäres Regime
146; Aserbaidschan;2,75;0,5;2,14;3,33;3,75;3,53;Autoritäres Regime
147; Sudan;2,7;0;1,79;5,56;5;1,18;Autoritäres Regime
148; Guinea-Bissau;2,63;4,92;0;2,78;3,13;2,35;Autoritäres Regime
149; Bahrain;2,55;0,92;2,71;2,78;4,38;2,06;Autoritäres Regime
150; Weißrussland;2,48;0,92;2;2,78;4,38;2,35;Autoritäres Regime
151; Iran;2,38;0;2,86;4,44;3,13;1,47;Autoritäres Regime
152; Eritrea;2,37;0;2,14;1,67;6,88;1,18;Autoritäres Regime
153; Volksrepublik China;2,26;0;4,29;3,33;2,5;1,18;Autoritäres Regime
154; Burundi;2,15;0;0,07;3,33;5;2,35;Autoritäres Regime
155; Laos;2,14;0;2,86;1,67;5;1,18;Autoritäres Regime
156; Libyen;2,02;0;0;2,78;4,38;2,94;Autoritäres Regime
157; Usbekistan;2,01;0,08;1,86;2,22;5;0,88;Autoritäres Regime
158; Jemen;1,95;0;0;3,89;5;0,88;Autoritäres Regime
159; Saudi-Arabien;1,93;0;2,86;2,22;3,13;1,47;Autoritäres Regime
160; Tadschikistan;1,93;0,08;0,79;1,67;6,25;0,88;Autoritäres Regime
161; Äquatorialguinea;1,92;0;0,43;3,33;4,38;1,47;Autoritäres Regime
162; Turkmenistan;1,72;0;0,79;2,22;5;0,59;Autoritäres Regime
163; Tschad;1,61;0;0;1,67;3,75;2,65;Autoritäres Regime
164; Syrien;1,43;0;0;2,78;4,38;0;Autoritäres Regime
165; Zentralafrikanische Republik;1,32;1,25;0;1,11;1,88;2,35;Autoritäres Regime
166; Demokratische Republik Kongo;1,13;0;0;1,67;3,13;0,88;Autoritäres Regime
167; Nordkorea;1,08;0;2,5;1,67;1,25;0;Autoritäres Regime
