Nr;Land;Punkte gesamt;Wahlprozess und Pluralismus;Funktionsweise der Regierung;Politische Teilhabe;Politische Kultur;Bürgerrechte;Kategorie
93; Liberia;5,35;7,42;2,57;5,56;5,63;5,59;Hybridregime
94; Bhutan;5,3;8,75;6,79;2,78;4,38;3,82;Hybridregime
95; Madagaskar;5,22;6,08;3,57;6,11;5,63;4,71;Hybridregime
96; Uganda;5,2;5,35;3,57;4,44;6,88;5,88;Hybridregime
97; Nepal;5,18;4,33;5,36;5;5,63;5,59;Hybridregime
98; Kenia;5,11;3,5;5,36;6,67;5,63;4,41;Hybridregime
98; Kirgisistan;5,11;6,58;2,93;6,67;4,38;5;Hybridregime
100; Marokko;4,99;5,25;4,64;5;5,63;4,41;Hybridregime
101; Bosnien und Herzegowina;4,98;6,5;2,93;5,56;3,75;6,18;Hybridregime
102; Haiti;4,91;5,58;2,93;3,89;6,25;5,88;Hybridregime
103; Armenien;4,79;5,67;4,64;5,56;2,5;5,59;Hybridregime
104; Burkina Faso;4,75;4,42;4,29;4,44;5,63;5;Hybridregime
105; Sierra Leone;4,66;6,58;1,86;3,33;6,25;5,29;Hybridregime
106; Libanon;4,63;3,92;3,21;6,67;5,63;4,71;Hybridregime
106; Thailand;4,63;3;4,29;5;5;5,88;Hybridregime
108; Nigeria;4,44;6,08;4,64;3,33;3,75;4,41;Hybridregime
109; Palästina;4,39;3,83;2,14;7,78;4,38;3,82;Hybridregime
110; Türkei;4,37;4,5;5;5;5;2,35;Hybridregime
111; Gambia;4,31;4,48;4,29;3,33;5,63;3,82;Hybridregime
112; Pakistan;4,17;6,08;5,36;2,22;2,5;4,71;Hybridregime
113; Elfenbeinküste;4,15;4,83;2,86;3,33;5,63;4,12;Hybridregime
114; Irak;4,06;4,75;0,07;6,67;5;3,82;Hybridregime
115; Jordanien;3,93;3,58;4,29;3,89;4,38;3,53;Autoritäres Regime
116; Mosambik;3,85;3,58;2,14;5;5;3,53;Autoritäres Regime
116; Kuwait;3,85;3,17;4,29;3,89;4,38;3,53;Autoritäres Regime
118; Myanmar;3,83;3,67;3,93;3,89;5,63;2,06;Autoritäres Regime
119; Mauretanien;3,82;3;3,57;5;3,13;4,41;Autoritäres Regime
120; Niger;3,76;5,25;1,14;3,33;4,38;4,71;Autoritäres Regime
121; Komoren;3,71;4,33;2,21;4,44;3,75;3,82;Autoritäres Regime
122; Nicaragua;3,63;2,67;1,86;3,89;5,63;4,12;Autoritäres Regime
123; Angola;3,62;1,75;2,86;5,56;5;2,94;Autoritäres Regime
124; Gabun;3,61;2,58;2,21;4,44;5;3,82;Autoritäres Regime
125; Kambodscha;3,59;1,33;5;2,78;5,63;3,24;Autoritäres Regime
126; Algerien;3,5;2,58;2,21;3,89;5;3,82;Autoritäres Regime
127; Ägypten;3,36;3,58;3,21;3,33;3,75;2,94;Autoritäres Regime
128; Äthiopien;3,35;0;3,57;5,56;5;2,65;Autoritäres Regime
128; Ruanda;3,35;1,67;5;2,78;4,38;2,94;Autoritäres Regime
130; Volksrepublik China;3,32;0;5;3,89;6,25;1,47;Autoritäres Regime
131; Republik Kongo;3,31;3,17;2,5;3,89;3,75;3,24;Autoritäres Regime
132; Kamerun;3,28;3,17;2,86;3,33;4,38;2,65;Autoritäres Regime
133; Katar;3,19;0;4,29;2,22;5,63;3,82;Autoritäres Regime
134; Simbabwe;3,16;0,5;2;4,44;5,63;3,24;Autoritäres Regime
134; Venezuela;3,16;1,67;1,79;4,44;4,38;3,53;Autoritäres Regime
136; Guinea;3,14;3,5;0,43;4,44;4,38;2,94;Autoritäres Regime
137; Weißrussland;3,13;0,92;2,86;3,89;5,63;2,35;Autoritäres Regime
138; Togo;3,1;3,17;0,79;3,33;5;3,24;Autoritäres Regime
139; Vietnam;3,08;0;3,21;3,89;5,63;2,65;Autoritäres Regime
140; Oman;3,04;0;3,93;2,78;4,38;4,12;Autoritäres Regime
141; Eswatini;3,03;0,92;2,86;2,22;5,63;3,53;Autoritäres Regime
142; Kuba;3;1,08;3,57;3,33;4,38;2,65;Autoritäres Regime
143; Afghanistan;2,97;2,92;1,14;4,44;2,5;3,82;Autoritäres Regime
144; Kasachstan;2,94;0,5;2,14;4,44;4,38;3,24;Autoritäres Regime
144; Russland;2,94;2,17;1,79;5;2,5;3,24;Autoritäres Regime
146; Dschibuti;2,87;0,42;1,79;3,89;5,63;2,65;Autoritäres Regime
147; Vereinigte Arabische Emirate;2,76;0;3,93;2,22;5;2,65;Autoritäres Regime
148; Bahrain;2,71;0,83;3,21;2,78;4,38;2,35;Autoritäres Regime
149; Aserbaidschan;2,65;0,5;2,14;3,33;3,75;3,53;Autoritäres Regime
150; Iran;2,45;0;3,21;4,44;3,13;1,47;Autoritäres Regime
151; Eritrea;2,37;0;2,14;1,67;6,88;1,18;Autoritäres Regime
151; Laos;2,37;0,83;2,86;1,67;5;1,47;Autoritäres Regime
153; Burundi;2,33;0;0,43;3,89;5;2,35;Autoritäres Regime
154; Libyen;2,19;1;0,36;1,67;5;2,94;Autoritäres Regime
155; Sudan;2,15;0;1,79;2,78;5;1,18;Autoritäres Regime
156; Usbekistan;2,01;0,08;1,86;2,22;5;0,88;Autoritäres Regime
157; Guinea-Bissau;1,98;1,67;0;2,78;3,13;2,35;Autoritäres Regime
158; Jemen;1,95;0;0;3,89;5;0,88;Autoritäres Regime
159; Saudi-Arabien;1,93;0;2,86;2,22;3,13;1,47;Autoritäres Regime
159; Tadschikistan;1,93;0,08;0,79;1,67;6,25;0,88;Autoritäres Regime
161; Äquatorialguinea;1,92;0;0,43;3,33;4,38;1,47;Autoritäres Regime
162; Turkmenistan;1,72;0;0,79;2,22;5;0,59;Autoritäres Regime
163; Tschad;1,61;0;0;1,67;3,75;2,65;Autoritäres Regime
164; Zentralafrikanische Republik;1,52;2,25;0;1,11;1,88;2,35;Autoritäres Regime
165; Demokratische Republik Kongo;1,49;0,5;0,71;2,22;3,13;0,88;Autoritäres Regime
166; Syrien;1,43;0;0;2,78;4,38;0;Autoritäres Regime
167; Nordkorea;1,08;0;2,5;1,67;1,25;0;Autoritäres Regime
